Model,GE PCC,DEG-GE PCC,Overlap@50,Overlap@100,Pathway PCC
MVCPert,0.31173864537549756,0.6622178391282781,0.28,0.3289473684210526,0.2086951892096162
PRNet,0.0553741263909722,0.442622781008381,0.1263157894736842,0.1957894736842105,0.1217672496729694
TranSiGen,0.2028528474947065,0.631016731959552,0.0536842105263157,0.101578947368421,0.0024605479817182
chemCPA,0.1822245432622178,0.5964072470521105,0.1821052631578947,0.2384210526315789,0.1528262260680286
cycleCDR,0.2792832221578657,0.5213435947238851,0.1452631578947368,0.1852631578947368,0.148168950519637
MiTCP,0.2204101640781275,0.1137870378207682,0.0589473684210526,0.0984210526315789,0.0781681669032619
XPert,0.2278965715264653,0.623373333215163,0.2263157894736842,0.2821052631578947,0.1635776346294699
