MetricKey,Metric,Control,Color,Clean,Dual,Delta,ci_low,ci_high,n,error_source,Delta_x1e3,ci_low_x1e3,ci_high_x1e3
systema-GE PCC,GE systema,GE-only target,#3F7E48,0.30846934456557323,0.31786204075819596,0.00939269619262273,0.005483987970072846,0.016093506035520254,5,seed_bootstrap,9.39269619262273,5.483987970072846,16.093506035520253
GE PCC,GE profile,GE-only target,#3F7E48,0.29970189938219416,0.3090571085192485,0.009355209137054265,0.0054139953417652875,0.01602129677680262,5,seed_bootstrap,9.355209137054265,5.413995341765288,16.021296776802618
DEG-GE PCC,DEG-GE PCC,GE-only target,#3F7E48,0.661531257469831,0.6627832038594144,0.0012519463895833693,-0.0010131065165761787,0.0037483402810476684,5,seed_bootstrap,1.2519463895833693,-1.0131065165761788,3.7483402810476685
systema-CP PCC,CP systema,CP-only target,#B85C38,0.7233231183563547,0.7241653286737707,0.000842210317415959,-0.0017560094861735376,0.003507958761154906,5,seed_bootstrap,0.842210317415959,-1.7560094861735376,3.5079587611549057
CP PCC,CP profile,CP-only target,#B85C38,0.7036613487068843,0.704731617248663,0.0010702685417786518,-0.0019016127444785092,0.004107014383602281,5,seed_bootstrap,1.0702685417786517,-1.9016127444785091,4.107014383602281
DEG-CP PCC,DEG-CP PCC,CP-only target,#B85C38,0.5967570903924813,0.5966176699733687,-0.00013942041911245705,-0.002853073136671136,0.002574232298446222,5,seed_bootstrap,-0.13942041911245706,-2.853073136671136,2.574232298446222
