Group,TopK,Metric,Dual,GE-only,Delta,Delta_pct,Color
Overlap,20,Informative overlap@20,0.2236842105263158,0.181578947368421,0.042105263157894784,4.210526315789479,#324E7B
Overlap,50,Informative overlap@50,0.28,0.231578947368421,0.04842105263157903,4.842105263157903,#324E7B
Overlap,100,Informative overlap@100,0.3289473684210526,0.2926315789473684,0.03631578947368419,3.631578947368419,#324E7B
Sign recall,20,Top20 sign recall,0.9526315789473684,0.8947368421052632,0.05789473684210522,5.789473684210522,#3F7E48
Sign recall,50,Top50 sign recall,0.9284210526315788,0.8863157894736842,0.042105263157894646,4.210526315789465,#3F7E48
Sign recall,100,Top100 sign recall,0.9036842105263156,0.8752631578947367,0.028421052631578902,2.8421052631578902,#3F7E48
